Region,Store,Category,Product,Month,Units Sold,Unit Price,Unit Cost,Revenue,Cost,Profit
Midwest,Chicago,Apparel,Denim Jacket,2025-08-01,18,69.99,34.01,1259.82,612.18,647.64
Midwest,Chicago,Apparel,Men's T-Shirt,2025-08-01,16,19.99,9.18,319.84,146.88,172.96
Midwest,Chicago,Apparel,Running Shoes,2025-08-01,12,79.99,39.06,959.88,468.72,491.16
Midwest,Chicago,Apparel,Women's Leggings,2025-08-01,13,34.99,14.48,454.87,188.24,266.63
Midwest,Chicago,Apparel,Wool Sweater,2025-08-01,11,54.99,24.21,604.89,266.31,338.58
Midwest,Chicago,Beauty & Personal Care,Electric Toothbrush,2025-08-01,17,44.99,20.36,764.83,346.12,418.71
Midwest,Chicago,Beauty & Personal Care,Facial Cleanser,2025-08-01,20,14.99,5.65,299.8,113.0,186.8
Midwest,Chicago,Beauty & Personal Care,Hair Dryer,2025-08-01,11,39.99,16.59,439.89,182.49,257.4
Midwest,Chicago,Beauty & Personal Care,Moisturizer,2025-08-01,14,18.99,7.77,265.86,108.78,157.08
Midwest,Chicago,Beauty & Personal Care,Perfume Set,2025-08-01,15,42.99,15.85,644.85,237.75,407.1
Midwest,Chicago,Electronics,Bluetooth Speaker,2025-08-01,13,44.99,27.73,584.87,360.49,224.38
Midwest,Chicago,Electronics,Portable Charger,2025-08-01,13,34.99,23.02,454.87,299.26,155.61
Midwest,Chicago,Electronics,Smartwatch,2025-08-01,19,119.99,82.75,2279.81,1572.25,707.56
Midwest,Chicago,Electronics,Tablet Stand,2025-08-01,19,24.99,14.81,474.81,281.39,193.42
Midwest,Chicago,Electronics,Wireless Earbuds,2025-08-01,17,59.99,38.69,1019.83,657.73,362.1
Midwest,Chicago,Home & Kitchen,Coffee Maker,2025-08-01,16,49.99,37.0,799.84,592.0,207.84
Midwest,Chicago,Home & Kitchen,LED Desk Lamp,2025-08-01,13,27.99,19.52,363.87,253.76,110.11
Midwest,Chicago,Home & Kitchen,Non-Stick Pan Set,2025-08-01,11,64.99,46.08,714.89,506.88,208.01
Midwest,Chicago,Home & Kitchen,Storage Bins (Set of 3),2025-08-01,24,22.99,16.7,551.76,400.8,150.96
Midwest,Chicago,Home & Kitchen,Throw Blanket,2025-08-01,12,29.99,20.45,359.88,245.4,114.48
Midwest,Chicago,Sports & Outdoors,Camping Tent,2025-08-01,18,129.99,74.77,2339.82,1345.86,993.96
Midwest,Chicago,Sports & Outdoors,Hiking Backpack,2025-08-01,9,74.99,42.36,674.91,381.24,293.67
Midwest,Chicago,Sports & Outdoors,Resistance Bands,2025-08-01,6,19.99,9.35,119.94,56.1,63.84
Midwest,Chicago,Sports & Outdoors,Water Bottle,2025-08-01,14,16.99,8.34,237.86,116.76,121.1
Midwest,Chicago,Sports & Outdoors,Yoga Mat,2025-08-01,22,24.99,12.98,549.78,285.56,264.22
Northeast,Boston,Apparel,Denim Jacket,2025-08-01,17,69.99,34.15,1189.83,580.55,609.28
Northeast,Boston,Apparel,Men's T-Shirt,2025-08-01,13,19.99,8.86,259.87,115.18,144.69
Northeast,Boston,Apparel,Running Shoes,2025-08-01,22,79.99,40.36,1759.78,887.92,871.86
Northeast,Boston,Apparel,Women's Leggings,2025-08-01,16,34.99,14.37,559.84,229.92,329.92
Northeast,Boston,Apparel,Wool Sweater,2025-08-01,21,54.99,23.48,1154.79,493.08,661.71
